Frame, cxs, cys, ws, hs, areas
1556,349.3713768115942,268.43033596837944,36.0,53.0,1012.0
1557,346.98363095238096,268.2915013227513,34.0,54.0,1008.0
1558,345.3907380607815,268.4433188615533,37.0,54.0,1036.5
1559,343.8314454009968,268.1690077027639,38.0,55.0,1103.5
1560,341.8897541609406,268.16078790655064,37.0,55.0,1091.5
1561,340.18797564687975,268.2464231354642,36.0,55.0,1095.0
1562,338.2179957225787,268.27161625420104,37.0,54.0,1091.0
1563,335.6418190342241,268.19127988748244,37.0,54.0,1066.5
1564,334.0646976090014,268.1408032505079,37.0,54.0,1066.5
1565,331.6192242311853,268.6034615978983,38.0,53.0,1078.5
1566,329.6653846153846,268.9543269230769,38.0,52.0,1040.0
1567,327.481852913085,269.38920725883474,39.0,51.0,1047.0
1568,325.5156805690268,269.7955059812479,36.0,50.0,1031.0
1569,323.26179831097863,270.5244245736049,37.0,49.0,1006.5
1570,320.82872001342054,270.8570709612481,36.0,48.0,993.5
1571,318.7436436963002,271.43012449587934,36.0,48.0,950.5
1572,316.45697438732265,272.0095817210245,35.0,46.0,904.5
1573,314.19262520638415,272.1623555310952,35.0,45.0,908.5
1574,311.9825635318123,272.85735485067704,36.0,44.0,898.5
1575,309.80046811000585,273.05753852155254,35.0,43.0,854.5
1576,306.7980563654033,272.60913508260444,35.0,44.0,857.5
1577,304.61130811662724,272.89204097714736,34.0,42.0,846.0
1578,302.2374346602332,272.764977885002,34.0,42.0,829.0
1579,300.5935585852598,272.948626753606,35.0,42.0,843.5
1580,298.90183061758194,273.1192918929793,34.0,40.0,828.5
1581,296.99263993802055,272.257795855123,33.0,44.0,860.5
1582,294.2852196099872,271.22015673409874,37.0,46.0,914.5
1583,290.69464594127805,269.37996545768567,39.0,49.0,965.0
1584,288.0855741586335,268.2939286318281,39.0,49.0,985.5
1585,285.8937150378414,267.8688713392563,39.0,49.0,1013.0
1586,282.53767686739053,267.1215860480421,38.0,49.0,1013.0
1587,279.9644808743169,266.70813243330116,40.0,49.0,1037.0
1588,277.3034515819751,266.84499840204535,40.0,48.0,1043.0
1589,274.5368166925332,267.66890843248837,38.0,47.0,966.5
1590,271.93810916179336,268.4697855750487,37.0,48.0,1026.0
1591,269.8959246630946,268.56031823347945,38.0,48.0,1026.5
1592,266.93978188715033,268.5376955903272,39.0,48.0,1054.5
1593,264.503559269576,269.15784586815226,42.0,48.0,1077.0
1594,261.4263876521223,269.60670822202434,45.0,48.0,1123.0
1595,258.6242912563414,269.80841539838855,46.0,48.0,1117.0
1596,256.0615577889447,269.8898659966499,49.0,48.0,1194.0
1597,253.64801469549244,269.75356789600113,49.0,47.0,1179.5
1598,251.2207468879668,269.76473029045644,48.0,47.0,1205.0
1599,249.0722315907813,269.5855817875211,49.0,47.0,1186.0
1600,247.02288557213927,269.1424307036247,47.0,47.0,1172.5
1601,245.88756894357235,269.12049215103946,46.0,48.0,1178.5
1602,244.62170735071024,268.2272789960005,45.0,49.0,1208.5
1603,243.3551260964912,267.81839364035085,43.0,48.0,1216.0
1604,242.33585434173665,267.84985994397755,42.0,48.0,1190.0
1605,240.7479193116095,267.56890957821975,42.0,47.0,1181.5
1606,239.32648401826484,267.3558789954338,40.0,47.0,1168.0
1607,237.59713876967092,267.10286123032904,38.0,48.0,1165.0
1608,236.12015338730293,266.4226672347678,37.0,48.0,1173.5
1609,234.1990597913912,265.7971206111356,38.0,47.0,1134.5
1610,231.75115070527096,265.1536748329621,41.0,48.0,1122.5
1611,229.1284781374219,264.73268029528674,50.0,47.0,1174.0
1612,226.19503700478884,264.43506022347987,47.0,48.0,1148.5
1613,224.26064476885645,263.8217761557177,48.0,49.0,1096.0
1614,222.1977711244178,263.3552894211577,47.0,49.0,1002.0
1615,223.94530628480507,263.4984089101034,26.0,49.0,838.0
1616,222.6247783687943,263.28324468085106,24.0,47.0,752.0
1617,221.73264655383858,264.10105469708117,22.0,47.0,679.5
1618,220.2388931200812,263.76948464077174,23.0,45.0,656.5
1619,218.5935966950684,264.21378776142524,24.0,44.0,645.5
1620,187.96660482374767,254.439084724799,26.0,17.0,269.5
1621,186.2800967937084,255.1306715063521,28.0,16.0,275.5
1622,204.57053059715287,261.89480495470514,53.0,42.0,901.5
1623,182.45850066934403,255.2925033467202,26.0,16.0,249.0
1624,200.8030651340996,261.5942528735632,51.0,39.0,870.0
1625,199.7406727828746,261.8348623853211,50.0,38.0,817.5
1626,198.72684890866708,261.749099385463,48.0,37.0,786.5
1627,198.2628205128205,261.7850560897436,48.0,38.0,832.0
1628,198.02815387921768,261.75693101225016,45.0,38.0,775.5
1629,196.85741811175336,261.5172339970028,42.0,40.0,778.5
1630,196.96174480989035,261.05994868206204,32.0,40.0,714.5
1631,195.62899896800826,262.1289989680082,28.0,39.0,646.0
1632,193.84242871189772,262.10029498525074,28.0,40.0,678.0
1633,192.24033731553058,262.92785195596156,28.0,40.0,711.5
1634,189.90824225865208,262.65983606557376,29.0,41.0,732.0
1635,185.53408417308833,260.5882236712112,36.0,49.0,843.5
1636,183.81918819188192,260.6377613776138,35.0,48.0,813.0
1637,182.30383314543406,260.2532882375047,35.0,49.0,887.0
1638,180.88116425658137,261.0127919911012,35.0,48.0,899.0
1639,179.51953125,261.14620535714283,34.0,47.0,896.0
1640,177.64752879970268,262.48959494611665,30.0,45.0,897.0
1641,176.94694753267018,262.72888628827775,28.0,43.0,854.5
1642,174.74979575163397,263.54473039215685,30.0,42.0,816.0
1643,173.09833738848334,263.20559610705595,31.0,42.0,822.0
1644,170.50710254913406,262.1770772523837,35.0,43.0,856.5
1645,168.25511432009628,262.03229041315683,35.0,41.0,831.0
1646,166.22586750788645,261.5678233438486,33.0,41.0,792.5
1647,164.93112582781458,261.63046357615895,31.0,41.0,755.0
1648,163.29198080877313,261.42974640164493,29.0,41.0,729.5
1649,161.9900638750887,261.3723681097705,27.0,41.0,704.5
1650,159.43657817109144,260.58089403222147,28.0,42.0,734.5
1651,158.1694214876033,259.93067033976126,31.0,42.0,726.0
1652,156.51764159702876,260.022748375116,27.0,43.0,718.0
1653,154.80575035063114,259.38475923328656,27.0,43.0,713.0
1654,153.54203758654796,258.9752720079129,26.0,42.0,674.0
1655,152.32715095311693,258.53245749613603,26.0,44.0,647.0
1656,150.77187417393603,257.30742796722177,26.0,44.0,630.5
1657,149.20229007633588,256.73129770992364,28.0,45.0,655.0
1658,147.58176337603618,255.62647575985932,28.0,48.0,663.5
1659,145.83895921237692,253.7402719174871,33.0,48.0,711.0
1660,144.88374269005845,253.16350877192983,34.0,48.0,712.5
